year,evidence_minus_intuition_score,lower_bound,upper_bound
1879,0.025186233154589253,0.019569573940334862,0.030960125314485512
1881,0.0386933801319913,0.0330363449914196,0.04415723777774029
1883,0.04283260251935614,0.03725709579520598,0.04858019521208734
1885,0.08389365008875682,0.07814452594708006,0.08973998124797034
1887,0.01731318919507604,0.011779001657550792,0.022940522313704654
1889,-0.042056765829031374,-0.0470536410491392,-0.037067691353435434
1891,0.047064661408413,0.04094737064101768,0.053008432920216335
1893,-0.11168907469140818,-0.11680868727929997,-0.10644210213122977
1895,0.015617854743818103,0.009266672818420044,0.021978136739294066
1897,-0.0899833091841556,-0.09565377453682614,-0.0843138022501909
1899,-0.12186975350899602,-0.12852550077727884,-0.11502792169386729
1901,-0.08506359578604575,-0.09139831552025483,-0.07863434191630134
1903,-0.0259722864306506,-0.03334095617453062,-0.018671634378764686
1905,0.04707253623089068,0.04113653125349642,0.05294488122838147
1907,0.09830737015396745,0.09186866472959791,0.10467715275005997
1909,0.04532912716052268,0.04058547184989833,0.05008228184197956
1911,0.006015261605654552,0.0015425080750670517,0.010509915674475876
1913,-0.03253519221681507,-0.036190873772104296,-0.028882916086981108
1915,-0.02599950619474061,-0.030510074448213857,-0.021501503909209057
1917,-0.05187561358395556,-0.05556041186203594,-0.04815381286013878
1919,-0.0011112548283516458,-0.005393306434371723,0.003182675486207964
1921,-0.04124346258419325,-0.04510076729357158,-0.03742408433073182
1923,-0.04851919345522422,-0.05383611260098979,-0.043196279217912706
1925,-0.014013310720946935,-0.019168617317606218,-0.00888475698091108
1927,-0.03857949708056385,-0.04427281258405856,-0.0328498988833218
1929,-0.012030765857148492,-0.016472894896922514,-0.007546943162273836
1931,-0.058452565875363974,-0.06337069042794946,-0.05354695600432126
1933,-0.1169603749805628,-0.12178505918757931,-0.11204071720550833
1935,-0.06182801834297314,-0.06681480912894779,-0.056785602520332025
1937,0.0002217960526340598,-0.004984071383575617,0.005413345551917258
1939,-0.06853088365761574,-0.07330149862279173,-0.06373237001251532
1941,-0.041754940117801224,-0.0468884042466649,-0.03655691028435883
1943,0.017346395047731045,0.012311403743576175,0.02239133395368089
1945,0.0068800336227312926,0.002037315389541666,0.011699280805753866
1947,0.03879011359208419,0.03310159617521543,0.04434692709491157
1949,0.02780348483731091,0.023525285644466404,0.032120357695283104
1951,0.031078832136780015,0.0261151094738268,0.0360502356778609
1953,0.09588358093993234,0.09095541878204047,0.1008035212776737
1955,0.11527125745165515,0.10958148009929672,0.12084122794494538
1957,0.15746965415658165,0.1528235210918468,0.1623653260663712
1959,0.08508134603570469,0.08050514285039667,0.0897308733078375
1961,0.16443379022164267,0.159872180655746,0.1689623209208873
1963,0.11357438186960742,0.1091981864612383,0.1179905690026185
1965,0.21987304751474135,0.21545060407783515,0.2243599389690418
1967,0.20087910435698297,0.19656485841138985,0.205110970771465
1969,0.22302697512145936,0.21896730581030396,0.22721438854950196
1971,0.2783744689845363,0.27408704198106715,0.28268871623503095
1973,0.355937810443521,0.3518912321016887,0.3600275042680041
1975,0.35888039888777196,0.3548023902013733,0.36293564813570595
1977,0.29282685607225295,0.28876019589340185,0.29676773341067547
1979,0.2393556887060435,0.23517844924832476,0.24346742715926822
1981,0.14341980673273064,0.1391717858194025,0.1477637105254613
1983,0.10255245760442817,0.09815860766934842,0.10690144179390972
1985,0.0072348425358066334,0.0029824377413911105,0.011414637824172139
1987,0.04705686410713365,0.04268151938343458,0.05143789526605562
1989,0.0403165858352629,0.03578047951401117,0.04465716167988835
1991,-0.02170289259679331,-0.026079703619816624,-0.017311064041859885
1993,-0.10549099915377746,-0.10981259923556089,-0.10118136341169656
1995,-0.22951240618504162,-0.2333873796099073,-0.22550193030682417
1997,-0.1331481965515654,-0.1375597541398565,-0.12874143193466467
1999,-0.11756410426673687,-0.1219723395333793,-0.1132201750090665
2001,-0.15536184864363012,-0.16013102009444538,-0.15066532395959817
2003,-0.2014340317588335,-0.20591009652402076,-0.19700359710487766
2005,-0.2094765414351862,-0.21397764549199746,-0.20483756659367622
2007,-0.2618125773888715,-0.26617633921090944,-0.2573774676499308
2009,-0.3884655496391174,-0.3934323117480036,-0.3833876558560246
2011,-0.43330013379515314,-0.43854474250809217,-0.42802088112778436
2013,-0.4121778198788135,-0.41785606437845796,-0.4065901790499168
2015,-0.25941512749444234,-0.26358387113541687,-0.2552922846791866
2017,-0.3645139893203434,-0.369950898601415,-0.3591457586780006
2019,-0.38486182640754407,-0.3907993730315582,-0.3788974783812254
2021,-0.4901283399740164,-0.49680756180658425,-0.48346192736013666
